Date,Open,High,Low,Close,Adj Close,Volume
2017-02-16,10.660000,10.660000,10.660000,10.660000,10.419367,0
2017-02-17,10.670000,10.670000,10.670000,10.670000,10.429140,0
2017-02-21,10.670000,10.670000,10.670000,10.670000,10.429140,0
2017-02-22,10.680000,10.680000,10.680000,10.680000,10.438912,0
2017-02-23,10.690000,10.690000,10.690000,10.690000,10.448687,0
2017-02-24,10.730000,10.730000,10.730000,10.730000,10.487784,0
2017-02-27,10.700000,10.700000,10.700000,10.700000,10.458463,0
2017-02-28,10.710000,10.710000,10.710000,10.710000,10.487840,0
2017-03-01,10.650000,10.650000,10.650000,10.650000,10.429086,0
2017-03-02,10.640000,10.640000,10.640000,10.640000,10.419293,0
2017-03-03,10.640000,10.640000,10.640000,10.640000,10.419293,0
2017-03-06,10.630000,10.630000,10.630000,10.630000,10.409500,0
2017-03-07,10.620000,10.620000,10.620000,10.620000,10.399707,0
2017-03-08,10.590000,10.590000,10.590000,10.590000,10.370328,0
2017-03-09,10.560000,10.560000,10.560000,10.560000,10.340952,0
2017-03-10,10.570000,10.570000,10.570000,10.570000,10.350744,0
2017-03-13,10.550000,10.550000,10.550000,10.550000,10.331158,0
2017-03-14,10.560000,10.560000,10.560000,10.560000,10.340952,0
2017-03-15,10.610000,10.610000,10.610000,10.610000,10.389913,0
2017-03-16,10.600000,10.600000,10.600000,10.600000,10.380121,0
2017-03-17,10.620000,10.620000,10.620000,10.620000,10.399707,0
2017-03-20,10.640000,10.640000,10.640000,10.640000,10.419293,0
2017-03-21,10.660000,10.660000,10.660000,10.660000,10.438876,0
2017-03-22,10.670000,10.670000,10.670000,10.670000,10.448668,0
2017-03-23,10.660000,10.660000,10.660000,10.660000,10.438876,0
2017-03-24,10.670000,10.670000,10.670000,10.670000,10.448668,0
2017-03-27,10.690000,10.690000,10.690000,10.690000,10.468253,0
2017-03-28,10.660000,10.660000,10.660000,10.660000,10.438876,0
2017-03-29,10.680000,10.680000,10.680000,10.680000,10.458463,0
2017-03-30,10.660000,10.660000,10.660000,10.660000,10.438876,0
2017-03-31,10.680000,10.680000,10.680000,10.680000,10.480091,0
2017-04-03,10.710000,10.710000,10.710000,10.710000,10.509529,0
2017-04-04,10.700000,10.700000,10.700000,10.700000,10.499717,0
2017-04-05,10.710000,10.710000,10.710000,10.710000,10.509529,0
2017-04-06,10.710000,10.710000,10.710000,10.710000,10.509529,0
2017-04-07,10.680000,10.680000,10.680000,10.680000,10.480091,0
2017-04-10,10.690000,10.690000,10.690000,10.690000,10.489903,0
2017-04-11,10.730000,10.730000,10.730000,10.730000,10.529154,0
2017-04-12,10.750000,10.750000,10.750000,10.750000,10.548781,0
2017-04-13,10.770000,10.770000,10.770000,10.770000,10.568408,0
2017-04-17,10.760000,10.760000,10.760000,10.760000,10.558595,0
2017-04-18,10.800000,10.800000,10.800000,10.800000,10.597844,0
2017-04-19,10.780000,10.780000,10.780000,10.780000,10.578218,0
2017-04-20,10.760000,10.760000,10.760000,10.760000,10.558595,0
2017-04-21,10.760000,10.760000,10.760000,10.760000,10.558595,0
2017-04-24,10.740000,10.740000,10.740000,10.740000,10.538967,0
2017-04-25,10.710000,10.710000,10.710000,10.710000,10.509529,0
2017-04-26,10.720000,10.720000,10.720000,10.720000,10.519343,0
2017-04-27,10.730000,10.730000,10.730000,10.730000,10.529154,0
2017-04-28,10.740000,10.740000,10.740000,10.740000,10.559633,0
2017-05-01,10.720000,10.720000,10.720000,10.720000,10.539971,0
2017-05-02,10.730000,10.730000,10.730000,10.730000,10.549804,0
2017-05-03,10.720000,10.720000,10.720000,10.720000,10.539971,0
2017-05-04,10.710000,10.710000,10.710000,10.710000,10.530137,0
2017-05-05,10.710000,10.710000,10.710000,10.710000,10.530137,0
2017-05-08,10.690000,10.690000,10.690000,10.690000,10.510473,0
2017-05-09,10.690000,10.690000,10.690000,10.690000,10.510473,0
2017-05-10,10.680000,10.680000,10.680000,10.680000,10.500642,0
2017-05-11,10.690000,10.690000,10.690000,10.690000,10.510473,0
2017-05-12,10.730000,10.730000,10.730000,10.730000,10.549804,0
2017-05-15,10.720000,10.720000,10.720000,10.720000,10.539971,0
2017-05-16,10.730000,10.730000,10.730000,10.730000,10.549804,0
2017-05-17,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-05-18,10.780000,10.780000,10.780000,10.780000,10.598963,0
2017-05-19,10.780000,10.780000,10.780000,10.780000,10.598963,0
2017-05-22,10.770000,10.770000,10.770000,10.770000,10.589132,0
2017-05-23,10.750000,10.750000,10.750000,10.750000,10.569466,0
2017-05-24,10.770000,10.770000,10.770000,10.770000,10.589132,0
2017-05-25,10.770000,10.770000,10.770000,10.770000,10.589132,0
2017-05-26,10.770000,10.770000,10.770000,10.770000,10.589132,0
2017-05-30,10.790000,10.790000,10.790000,10.790000,10.608795,0
